year,retrofit_year,asset_id,asset_domain,asset_type,scenario
2065,False,F_353081_2906005,building,building_aggregate,continued_gas
2020,False,F_353083_2905948,building,building_aggregate,continued_gas
2021,False,F_353083_2905948,building,building_aggregate,continued_gas
2022,True,F_353083_2905948,building,building_aggregate,continued_gas
2023,False,F_353083_2905948,building,building_aggregate,continued_gas
2024,False,F_353083_2905948,building,building_aggregate,continued_gas
2025,False,F_353083_2905948,building,building_aggregate,continued_gas
2026,False,F_353083_2905948,building,building_aggregate,continued_gas
2027,False,F_353083_2905948,building,building_aggregate,continued_gas
2028,False,F_353083_2905948,building,building_aggregate,continued_gas
2029,False,F_353083_2905948,building,building_aggregate,continued_gas
2030,False,F_353083_2905948,building,building_aggregate,continued_gas
2031,False,F_353083_2905948,building,building_aggregate,continued_gas
2032,False,F_353083_2905948,building,building_aggregate,continued_gas
2033,False,F_353083_2905948,building,building_aggregate,continued_gas
2034,False,F_353083_2905948,building,building_aggregate,continued_gas
2035,False,F_353083_2905948,building,building_aggregate,continued_gas
2036,False,F_353083_2905948,building,building_aggregate,continued_gas
2037,False,F_353083_2905948,building,building_aggregate,continued_gas
2038,False,F_353083_2905948,building,building_aggregate,continued_gas
2039,False,F_353083_2905948,building,building_aggregate,continued_gas
2040,False,F_353083_2905948,building,building_aggregate,continued_gas
2041,False,F_353083_2905948,building,building_aggregate,continued_gas
2042,False,F_353083_2905948,building,building_aggregate,continued_gas
2043,False,F_353083_2905948,building,building_aggregate,continued_gas
2044,False,F_353083_2905948,building,building_aggregate,continued_gas
2045,False,F_353083_2905948,building,building_aggregate,continued_gas
2046,False,F_353083_2905948,building,building_aggregate,continued_gas
2047,False,F_353083_2905948,building,building_aggregate,continued_gas
2048,False,F_353083_2905948,building,building_aggregate,continued_gas
2049,False,F_353083_2905948,building,building_aggregate,continued_gas
2050,False,F_353083_2905948,building,building_aggregate,continued_gas
2051,False,F_353083_2905948,building,building_aggregate,continued_gas
2052,False,F_353083_2905948,building,building_aggregate,continued_gas
2053,False,F_353083_2905948,building,building_aggregate,continued_gas
2054,False,F_353083_2905948,building,building_aggregate,continued_gas
2055,False,F_353083_2905948,building,building_aggregate,continued_gas
2056,False,F_353083_2905948,building,building_aggregate,continued_gas
2057,False,F_353083_2905948,building,building_aggregate,continued_gas
2058,False,F_353083_2905948,building,building_aggregate,continued_gas
2059,False,F_353083_2905948,building,building_aggregate,continued_gas
2060,False,F_353083_2905948,building,building_aggregate,continued_gas
2061,False,F_353083_2905948,building,building_aggregate,continued_gas
2062,False,F_353083_2905948,building,building_aggregate,continued_gas
2063,False,F_353083_2905948,building,building_aggregate,continued_gas
2064,False,F_353083_2905948,building,building_aggregate,continued_gas
2065,False,F_353083_2905948,building,building_aggregate,continued_gas
2020,False,F_353084_2905882,building,building_aggregate,continued_gas
2021,False,F_353084_2905882,building,building_aggregate,continued_gas
2022,False,F_353084_2905882,building,building_aggregate,continued_gas
2023,False,F_353084_2905882,building,building_aggregate,continued_gas
2024,False,F_353084_2905882,building,building_aggregate,continued_gas
2025,False,F_353084_2905882,building,building_aggregate,continued_gas
2026,False,F_353084_2905882,building,building_aggregate,continued_gas
2027,False,F_353084_2905882,building,building_aggregate,continued_gas
2028,False,F_353084_2905882,building,building_aggregate,continued_gas
2029,False,F_353084_2905882,building,building_aggregate,continued_gas
2030,False,F_353084_2905882,building,building_aggregate,continued_gas
2031,False,F_353084_2905882,building,building_aggregate,continued_gas
2032,False,F_353084_2905882,building,building_aggregate,continued_gas
2033,False,F_353084_2905882,building,building_aggregate,continued_gas
2034,False,F_353084_2905882,building,building_aggregate,continued_gas
2035,False,F_353084_2905882,building,building_aggregate,continued_gas
2036,False,F_353084_2905882,building,building_aggregate,continued_gas
2037,False,F_353084_2905882,building,building_aggregate,continued_gas
2038,False,F_353084_2905882,building,building_aggregate,continued_gas
2039,True,F_353084_2905882,building,building_aggregate,continued_gas
2040,False,F_353084_2905882,building,building_aggregate,continued_gas
2041,False,F_353084_2905882,building,building_aggregate,continued_gas
2042,False,F_353084_2905882,building,building_aggregate,continued_gas
2043,False,F_353084_2905882,building,building_aggregate,continued_gas
2044,False,F_353084_2905882,building,building_aggregate,continued_gas
2045,False,F_353084_2905882,building,building_aggregate,continued_gas
2046,False,F_353084_2905882,building,building_aggregate,continued_gas
2047,False,F_353084_2905882,building,building_aggregate,continued_gas
2048,False,F_353084_2905882,building,building_aggregate,continued_gas
2049,False,F_353084_2905882,building,building_aggregate,continued_gas
2050,False,F_353084_2905882,building,building_aggregate,continued_gas
2051,False,F_353084_2905882,building,building_aggregate,continued_gas
2052,False,F_353084_2905882,building,building_aggregate,continued_gas
2053,False,F_353084_2905882,building,building_aggregate,continued_gas
2054,False,F_353084_2905882,building,building_aggregate,continued_gas
2055,False,F_353084_2905882,building,building_aggregate,continued_gas
2056,False,F_353084_2905882,building,building_aggregate,continued_gas
2057,False,F_353084_2905882,building,building_aggregate,continued_gas
2058,False,F_353084_2905882,building,building_aggregate,continued_gas
2059,False,F_353084_2905882,building,building_aggregate,continued_gas
2060,False,F_353084_2905882,building,building_aggregate,continued_gas
2061,False,F_353084_2905882,building,building_aggregate,continued_gas
2062,False,F_353084_2905882,building,building_aggregate,continued_gas
2063,False,F_353084_2905882,building,building_aggregate,continued_gas
2064,False,F_353084_2905882,building,building_aggregate,continued_gas
2065,False,F_353084_2905882,building,building_aggregate,continued_gas
2020,False,F_353065_2906524,building,building_aggregate,continued_gas
2021,False,F_353065_2906524,building,building_aggregate,continued_gas
2022,False,F_353065_2906524,building,building_aggregate,continued_gas
2023,False,F_353065_2906524,building,building_aggregate,continued_gas
2024,False,F_353065_2906524,building,building_aggregate,continued_gas
2025,False,F_353065_2906524,building,building_aggregate,continued_gas
2026,False,F_353065_2906524,building,building_aggregate,continued_gas
2027,True,F_353065_2906524,building,building_aggregate,continued_gas
2028,False,F_353065_2906524,building,building_aggregate,continued_gas
2029,False,F_353065_2906524,building,building_aggregate,continued_gas
2030,False,F_353065_2906524,building,building_aggregate,continued_gas
2031,False,F_353065_2906524,building,building_aggregate,continued_gas
2032,False,F_353065_2906524,building,building_aggregate,continued_gas
2033,False,F_353065_2906524,building,building_aggregate,continued_gas
2034,False,F_353065_2906524,building,building_aggregate,continued_gas
2035,False,F_353065_2906524,building,building_aggregate,continued_gas
2036,False,F_353065_2906524,building,building_aggregate,continued_gas
2037,False,F_353065_2906524,building,building_aggregate,continued_gas
2038,False,F_353065_2906524,building,building_aggregate,continued_gas
2039,False,F_353065_2906524,building,building_aggregate,continued_gas
2040,False,F_353065_2906524,building,building_aggregate,continued_gas
2041,False,F_353065_2906524,building,building_aggregate,continued_gas
2042,False,F_353065_2906524,building,building_aggregate,continued_gas
2043,False,F_353065_2906524,building,building_aggregate,continued_gas
2044,False,F_353065_2906524,building,building_aggregate,continued_gas
2045,False,F_353065_2906524,building,building_aggregate,continued_gas
2046,False,F_353065_2906524,building,building_aggregate,continued_gas
2047,False,F_353065_2906524,building,building_aggregate,continued_gas
2048,False,F_353065_2906524,building,building_aggregate,continued_gas
2049,False,F_353065_2906524,building,building_aggregate,continued_gas
2050,False,F_353065_2906524,building,building_aggregate,continued_gas
2051,False,F_353065_2906524,building,building_aggregate,continued_gas
2052,False,F_353065_2906524,building,building_aggregate,continued_gas
2053,False,F_353065_2906524,building,building_aggregate,continued_gas
2054,False,F_353065_2906524,building,building_aggregate,continued_gas
2055,False,F_353065_2906524,building,building_aggregate,continued_gas
2056,False,F_353065_2906524,building,building_aggregate,continued_gas
2057,False,F_353065_2906524,building,building_aggregate,continued_gas
2058,False,F_353065_2906524,building,building_aggregate,continued_gas
2059,False,F_353065_2906524,building,building_aggregate,continued_gas
2060,False,F_353065_2906524,building,building_aggregate,continued_gas
2061,False,F_353065_2906524,building,building_aggregate,continued_gas
2062,False,F_353065_2906524,building,building_aggregate,continued_gas
2063,False,F_353065_2906524,building,building_aggregate,continued_gas
2064,False,F_353065_2906524,building,building_aggregate,continued_gas
2065,False,F_353065_2906524,building,building_aggregate,continued_gas
2020,False,F_353068_2906466,building,building_aggregate,continued_gas
2021,False,F_353068_2906466,building,building_aggregate,continued_gas
2022,False,F_353068_2906466,building,building_aggregate,continued_gas
2023,True,F_353068_2906466,building,building_aggregate,continued_gas
2024,False,F_353068_2906466,building,building_aggregate,continued_gas
2025,False,F_353068_2906466,building,building_aggregate,continued_gas
2026,False,F_353068_2906466,building,building_aggregate,continued_gas
2027,False,F_353068_2906466,building,building_aggregate,continued_gas
2028,False,F_353068_2906466,building,building_aggregate,continued_gas
2029,False,F_353068_2906466,building,building_aggregate,continued_gas
2030,False,F_353068_2906466,building,building_aggregate,continued_gas
2031,False,F_353068_2906466,building,building_aggregate,continued_gas
2032,False,F_353068_2906466,building,building_aggregate,continued_gas
2033,False,F_353068_2906466,building,building_aggregate,continued_gas
2034,False,F_353068_2906466,building,building_aggregate,continued_gas
2035,False,F_353068_2906466,building,building_aggregate,continued_gas
2036,False,F_353068_2906466,building,building_aggregate,continued_gas
2037,False,F_353068_2906466,building,building_aggregate,continued_gas
2038,False,F_353068_2906466,building,building_aggregate,continued_gas
2039,False,F_353068_2906466,building,building_aggregate,continued_gas
2040,False,F_353068_2906466,building,building_aggregate,continued_gas
2041,False,F_353068_2906466,building,building_aggregate,continued_gas
2042,False,F_353068_2906466,building,building_aggregate,continued_gas
2043,False,F_353068_2906466,building,building_aggregate,continued_gas
2044,False,F_353068_2906466,building,building_aggregate,continued_gas
2045,False,F_353068_2906466,building,building_aggregate,continued_gas
2046,False,F_353068_2906466,building,building_aggregate,continued_gas
2047,False,F_353068_2906466,building,building_aggregate,continued_gas
2048,False,F_353068_2906466,building,building_aggregate,continued_gas
2049,False,F_353068_2906466,building,building_aggregate,continued_gas
2050,False,F_353068_2906466,building,building_aggregate,continued_gas
2051,False,F_353068_2906466,building,building_aggregate,continued_gas
2052,False,F_353068_2906466,building,building_aggregate,continued_gas
2053,False,F_353068_2906466,building,building_aggregate,continued_gas
2054,False,F_353068_2906466,building,building_aggregate,continued_gas
2055,False,F_353068_2906466,building,building_aggregate,continued_gas
2056,False,F_353068_2906466,building,building_aggregate,continued_gas
2057,False,F_353068_2906466,building,building_aggregate,continued_gas
2058,False,F_353068_2906466,building,building_aggregate,continued_gas
2059,False,F_353068_2906466,building,building_aggregate,continued_gas
2060,False,F_353068_2906466,building,building_aggregate,continued_gas
2061,False,F_353068_2906466,building,building_aggregate,continued_gas
2062,False,F_353068_2906466,building,building_aggregate,continued_gas
2063,False,F_353068_2906466,building,building_aggregate,continued_gas
2064,False,F_353068_2906466,building,building_aggregate,continued_gas
2065,False,F_353068_2906466,building,building_aggregate,continued_gas
2020,False,F_353070_2906407,building,building_aggregate,continued_gas
2021,False,F_353070_2906407,building,building_aggregate,continued_gas
2022,False,F_353070_2906407,building,building_aggregate,continued_gas
